"codigo";"titulo";"subtitulo";"informacao";"unidade";"estado_conservacao";"situacao";"numero_tombamento";"colecao";"subcolecao";"tipologia";"cedido_a";"data_limite_cessao"
"002657";"CORREIO MARGINAL PARALELO";"";"Envelope, medindo 19 x 24 cm, produzido no ano de 1978. G.E. MARX VIGO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002675";"CORREIO MARGINAL PARALELO";"";"Impresso, medindo 19 x 24 cm, produzido no ano de 1978. G.E. MARX VIGO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"005736";"Demonia";"";"Cartão, dimensões 6 x 7,7 cm, 1979, Vittore Barone.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005687";"Dicas & Contatos";"Boletim informativo da comunidade brasileira";"Impresso, dimensões 29,5 x 21 cm, 1985, Roberto da Silva.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"002677";"DOR";"";"Cartão, medindo 10 x 15 cm, produzido no ano de 1979. GILMAR E. CARDOSO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001720";"ENVIOPOSTAL";"";"Carta convite, medindo 21,5 x 31,5 cm, produzido nos anos de 80. CESAR TORO MONTALVO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"002676";"EXPOSIÇÃO INTERNACIONAL DE ARTE CORREIO";"";"Carta convite, medindo 21,5 x 31 cm, produzido no ano de 1979. GILMAR E. CARDOSO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"001739";"EXPRESION DE LA CELULA";"";"Carta convite, medindo 21,5 x 24 cm, produzido no ano de 1976. DIEGO BARBOZA";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"005740";"Feeling Renegade!";"";"Cartão, dimensões 10,5 x 15 cm, 1979, Vittore Barone.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005669";"Ficha de inscrição da XIª Biennale Internationale de L'Affiche (BIAV)";"";"Impresso, dimensões 14,8 x 21 cm, 1985, Roberto da Silva.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"005670";"Ficha de inscrição da XIª Biennale Internationale de L'Affiche (BIAV)";"";"Impresso, dimensões 14,8 x 10,4 cm, 1985, Roberto da Silva.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"005379";"Folclore brasileiro";"";"Cartaz, impressão, carimbo e colagem sobre papel; dimensões 15,6 x 22,5 cm; 1984; Katia Bento";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartaz";"";""
"005378";"Fotograma";"";"Cartaz, impressão e carimbos sobre papel, dimensões 33 x 21,5 cm, 1983, Katia Bento";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartaz";"";""
"001718";"FUTURIST SOUND ";"";"Cartaz, medindo 26,5 x 20 cm, produzido no ano de 1978. BILL GAGLIONE/ANNA BANANA";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartaz";"";""
"005633";"Informativo nº 1";"";"Impresso, dimensões 31,5 x 21,6 cm, 1977, Paulo Bruscky.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"005639";"Informe - Informe-se";"";"Cartão postal, dimensões 10 x 13,7 cm, 1979, Paulo R. Ferraz.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002738";" INTESTINOS FUERA";"";"Cartão Postal, medindo  14 x 10,6 cm, produzido no ano de 1970. JOHN M. BENNETT";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005690";"IV Salão Nacional de Artes Plásticas - Proposta apresentada à FUNARTE";"";"Carta, dimensões 31 x 21,5 cm, 1981, Rogério Nazari.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"005377";"Le plan";"Gethe-Institut Paris";"impressão sobre cartão, dimensões 10 x 14, 5 cm, 1983, Jurgen O. Olbirich.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001727";"LOVIN’S SPOONFUL";"";"Cartão, medindo 20 x 20 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001704";"MANIFESTO OFINSOLENT ART";"";"Manifesto, medindo 27 x 22 cm, produzido no ano de 1977. ANDRZEJ PARTUM";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Manifesto";"";""
"005692";"Mother nature print";"";"Impresso, dimensões 14 x 21,5 cm, 1980, Rosie Thompson.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"006046";"O resta un sogno";"";"Colagem sobre papel, dimensões 24 x 33 cm, sem data, Anna Boschi";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Colagem";"";""
"001726";"POEMA - ACCION";"";"Cartão postal, medindo   9 x 12,4 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005408";"Poema Urbano";"";"Xerografia sobre papel, dimensões 29,5 x 21 cm, 1970, Leonhard Frank Duck.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Xerox";"";""
"005707";"Por gentileza acusar recebimento";"";"Xerox e carimbo sobre papel, dimensões 8,5 x 9,5 cm, 1976, Samaral.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Xerox";"";""
"005677";"Programa de divulgação das artes plásticas e da cultura pernambucana no exterior - 1985";"";"Carta, dimensões 29,5 x 21 cm, 1985, Roberto da Silva.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"005681";"Programa de divulgação das artes plásticas e da cultura pernambucana no exterior - 1985";"""Encontro com a arte e a cultura pernambucana"" na Alemanha Federal de 12 a 25 de setembro de 1985.";"Carta, dimensões 29,5 x 21 cm, 1985, Roberto da Silva.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"001723";"PROPOSICIÓN VISUAL";"";"Cartão postal, medindo 14,4 x 10,2 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001698";"PUÃS";"";"Envelope, medindo 10,5 x 16 cm, produzido no ano de 1981. ALBERTO HARRIGAN";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"005671";"Regulamento da da XIª Biennale Internationale de L'Affiche (BIAV)";"";"Folder em quatro seções (dobras), dimensões 35 x 20,5 cm, 1985, Roberto da Silva.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"005643";"Revolução de 32";"A fotografia e a política";"Cartão postal, dimensões 15 x 11 cm, 1982, Pedro Vasquez.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005729";"Saco cheio de Arte";"";"Envelope, dimensões 13 x 16 cm, 1978, Vera Salamanca.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002704";"SANGRAS";"";"Colagens, medindo 18,5 x 13 cm, produzido no ano de 1981. HÉLIO LETE";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Colagem";"";""
"005888";"Sem título";"";"Grafite sobre cartão, dimensões 15 x 10 cm, 2006, Alberto Maia Canen.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005889";"Sem título";"";"Mista sobre cartão, dimensões 7 x 20 cm, 2006, Aldeci Medeiros.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002702";" SEM TÍTULO";"";"Impresso, medindo  29,5 x 21 cm, produzido no ano de 1976. GUY SCHRAENEN";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"002705";" SEM TÍTULO";"";"Envelope com intervenções, medindo 12 x 23,5 cm, produzido no ano de 1980. HÉLIO LETE";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001692";"SEM TÍTULO";"";"Impresso, medindo 29,8 x 21 cm, produzido no ano de 1979. ADEMIR ASSUNÇÃO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"001693";"SEM TÍTULO";"";"Cartão, medindo 10,5 x 16 cm, produzido no ano de 1970. ALBERTO HARRIGAN";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001694";"SEM TÍTULO";"";"Carta convite, medindo 11,3 x 21,8 cm, produzido no ano de 1979. ALBERTO HARRIGAN";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"001699";"SEM TÍTULO";"";"Envelope, medindo 16 x 23 cm, produzido no ano de 1977. ANDRZEJ PARTUM";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001705";"SEM TÍTULO";"";"Envelope, medindo 16,2 x 22,7 cm, produzido no ano de 1978. ANDRZEJ PARTUM";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001706";"SEM TÍTULO";"";"Xerox, medindo 27,5 x 39,5 cm, produzida no ano de 1980. ANSELMO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Xerox";"";""
"001707";"SEM TÍTULO";"";"Xerox, medindo 22 x 33 cm, produzida no ano de 1980. ANTONIO C. PISTELLI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Xerox";"";""
"001717";"SEM TÍTULO";"";"Xerox, medindo 12 x 13,7 cm, produzida no ano de 1980. ARNALDO TOBIAS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Xerox";"";""
"001721";"SEM TÍTULO";"";"Envelope, medindo 14 x 18 cm, produzido no ano de 1980. CESAR TORO MONTALVO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001722";"SEM TÍTULO";"";"Carta convite, medindo : 21,5 x 31,5 cm, produzido no ano de 1979. CLAUDIA";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"001732";"SEM TÍTULO";"";"Envelope, medindo 24 x 10,5 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001735";"SEM TÍTULO";"";"Envelope, medindo 10,5 x 24 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001736";"SEM TÍTULO";"";"Envelope, medindo 23,5 x 10 cm, produzido no ano de 1977. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001738";"SEM TÍTULO";"";"Cartão postal, medindo 15,3 x 10,3 cm, produzido no ano de 1980. DAVI DET HOMPSON";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001740";"SEM TÍTULO";"";"Envelope, medindo 18 x 12,5 cm, produzido no ano de 1977. DIÓGENES G. METIDIERI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"001741";"SEM TÍTULO";"";"Cartão Postal, medindo 14,5 x 10 cm, produzido no ano de 1977. DIÓGENES G. METIDIERI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001742";"SEM TÍTULO";"";"Cartão postal, medindo 15 x 10,5 cm, produzido no ano de 1982. ELIANE VELOZO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001743";"SEM TÍTULO";"";"Envelope, medindo 23,8 x10,5 cm, produzido no ano de 1979. FRANK J. ANDERSON";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002694";"SEM TÍTULO";"";"Impresso com intervenções, medindo 22 x 31, 5 cm, produzido no ano de 1983. GRACIELA GUTIERREZ MARX";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"002695";"SEM TÍTULO";"";"Envelope, medindo 11,4 x 16,2 cm, produzido no ano de 1983. GRACIELA GUTIERREZ MARX";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002696";"SEM TÍTULO";"";"Envelope, medindo 19,7 x 28,6 cm, produzido no ano de 1977. GUGLIELMO ACHILLE CAVELLINI.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002701";"SEM TÍTULO";"";"Envelope, medindo 11,3 x 22,6 cm, produzido no ano de 1980. GUY SCHRAENEN";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002703";"SEM TÍTULO";"";"Envelope com intervenções, medindo 16,2 x 22,8 cm, produzido no ano de 1981. HÉLIO LETE";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002706";"SEM TÍTULO";"";"Cartão, medindo 14,7 x 10,8 cm, produzido no ano de 1980. HÉLIO LETE";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002707";"SEM TÍTULO";"";"Cartão, medindo 20,7 x 9,7 cm, produzido no ano de 1980. HÉLIO LETE";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002708";"SEM TÍTULO";"";"Carimbo sobre papel, medindo 33 x 21,5 cm, produzido no ano de 1980. HÉLIO LETE";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carimbo";"";""
"002709";"SEM TÍTULO";"";"Cartaz impresso, medindo 32 x 21,5 cm, produzido no ano de 1979. HERCULANO VILAS- BOAS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartaz";"";""
"002710";"SEM TÍTULO";"";"Envelope, medindo  11,5 x 23 cm, produzido no ano de 1979. HERCULANO VILAS- BOAS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002718";"SEM TÍTULO";"";"Cartão postal, medindo 11,7 x 16,3 cm, produzido no ano de 1979. J. GENÉSIO VIEIRA";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002721";"SEM TÍTULO";"";"Cartão, medindo 10,5 x 15,2 cm, produzido no ano de 1977. J. MEDEIROS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002722";"SEM TÍTULO";"";"Cartão, medindo 14,5 x 10,3 cm, produzido no ano de 1970. J. MEDEIROS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002723";"SEM TÍTULO";"";"Cartão Postal, medindo 15,2 x 10,5 cm, produzido no ano de 1980. J. MEDEIROS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002724";"SEM TÍTULO";"";"Cartão Postal , medindo 10,5 x 15,2 cm, produzido no ano de 1980. J. MEDEIROS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002725";"SEM TÍTULO";"";"Colagem, medindo 31,2 x 21,5 cm, produzido no ano de 1970. J. MEDEIROS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Colagem";"";""
"002726";"SEM TÍTULO";"";"Cartão Postal, medindo 10,8 x 13,5 cm, produzido no ano de 1980. J. MEDEIROS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002727";"SEM TÍTULO";"";"Cartão Postal, medindo 10,8 x 13,5 cm, produzido no ano de 1980. J. MEDEIROS";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002731";"SEM TÍTULO";"";"Cartão, medindo  11,5 x 16 cm, produzido no ano de 1978. JALDETE SOARES";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002732";"SEM TÍTULO";"";"Impresso, medindo  29,6 x 21 cm, produzido no ano de 1980.  JEAN-MARC RASTORFER";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"002734";"SEM TÍTULO";"";"Envelope, medindo  11,4 x 16 cm, produzido no ano de 1980. JEAN-MARC RASTORFER";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002735";"SEM TÍTULO";"";"Envelope, medindo 16 x 23 cm, produzido no ano de 1980. JOÃO PROTETI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002736";"SEM TÍTULO";"";"Mista sobre cartão, medindo 23 x 15 cm, produzido no ano de 1983.  JOEL SMITH    ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002737";"SEM TÍTULO";"";"Envelope, medindo 23,8 x 31,5 cm, produzido no ano de 1979. JOHN M. BENNETT";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002739";"SEM TÍTULO";"";"Cartão Postal, medindo 10 x 14 cm, produzido no ano de 1978. JOHN M. BENNETT";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002740";"SEM TÍTULO";"";"Cartão Postal, medindo 10 x 14 cm, produzido no ano de 1978. JOHN M. BENNETT";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002741";"SEM TÍTULO";"";"Impresso, medindo 21,7 x 28 cm, produzido no ano de 1979. JOHN S. FAWCETT";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"002742";"SEM TÍTULO";"";"Envelope, medindo 11,5 x 22,6 cm , produzido no ano de 1979. JORGE GRIMM";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002743";"SEM TÍTULO";"";"Cartão Postal, medindo 9,0 x 14 cm, produzido no ano de 1979. JORGE GRIMM";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002744";"SEM TÍTULO";"";"Cartão Postal, medindo 11 x 16,6 cm, produzido no ano de 1979. JORGE GRIMM";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002745";"SEM TÍTULO";"";"Cartão Postal, medindo 21 x 14,8 cm, produzido no ano de 1979. JORGE GRIMM";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002748";"SEM TÍTULO";"";"Envelope, medindo  28 x 20,2 cm, produzido no ano de 1983.  JORGE MONT";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002749";"SEM TÍTULO";"";"Cartão Postal, medindo 12 x 16,5 cm, produzido no ano de 1980. JOSÉ ANSELMO ALVES";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002750";"SEM TÍTULO";"";"Impresso, medindo 33 x 21 cm, produzido no ano de 1980. JOSÉ ROBERTO NEGRI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"002751";"SEM TÍTULO";"";"Impresso, medindo 19,7 x 13,4 cm, produzido no ano de 1979. JOSÉ ROBERTO NEGRI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"002752";"SEM TÍTULO";"";"Envelope, medindo 11,5 x 22,6 cm, produzido no ano de 1979. JOSÉ ROBERTO NEGRI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"002753";"SEM TÍTULO";"";"Envelope, medindo 11,5 x 22,8 cm, produzido no ano de 1980. JOSÉ ROBERTO NEGRI";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Envelope";"";""
"005354";"SEM TÍTULO";"";"Cartão com dimensões 13,3 x 10,5 cm, imagem em preto e branco, 1970, de Hudinilson Jr.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005356";"SEM TÍTULO";"";"Cartão com dimensões 13,3 x 10,5 cm, imagem em preto e branco, 1970, de Hudinilson Jr.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005357";"SEM TÍTULO";"";"Cartão com dimensões 13,3 x 10,5 cm, imagem em preto e branco, 1970, de Hudinilson Jr.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005358";"SEM TÍTULO";"";"Cartão com dimensões 13,3 x 10,5 cm, imagem em preto e branco, 1970, de Hudinilson Jr.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
